title,notation,label
2302.13-Feedback regulation,2302.13,Feedback regulation
2302.14-Glucides,2302.14,Glucides
2302.15-Hormones,2302.15,Hormones
2302.16-Immunochemistry,2302.16,Immunochemistry
2302.17-Intermediary metabolism,2302.17,Intermediary metabolism
2302.18-Lipids,2302.18,Lipids
2302.19-Metabolic processes,2302.19,Metabolic processes
2302.20-Microbiological chemistry,2302.20,Microbiological chemistry
2302.21-Molecular biology,2302.21,Molecular biology
2302.22-Molecular pharmacology,2302.22,Molecular pharmacology
2302.23-Nucleic acids,2302.23,Nucleic acids
2302.24-Peptides,2302.24,Peptides
2302.25-Photosynthesis,2302.25,Photosynthesis
2302.26-Physical biochemistry,2302.26,Physical biochemistry
2302.27-Proteins,2302.27,Proteins
2302.28-Starch,2302.28,Starch
2302.29-Steroids ,2302.29,Steroids 
2302.30-Terpenes,2302.30,Terpenes
2302.31-Trace-elements ,2302.31,Trace-elements 
2302.32-Vitamins ,2302.32,Vitamins 
2302.33-Waxes,2302.33,Waxes
2302.90-Food biochemistry,2302.90,Food biochemistry
2302.91-Biological macromolecules chemistry,2302.91,Biological macromolecules chemistry
2302.99-Other (specify),2302.99,Other (specify)
2303.01-Actinides chemistry,2303.01,Actinides chemistry
2303.02-Alkaline earths,2303.02,Alkaline earths
2303.03-Alkaline elements,2303.03,Alkaline elements
2303.04-Boron compounds,2303.04,Boron compounds
2303.05-Carbon,2303.05,Carbon
2303.06-Chlorine compounds,2303.06,Chlorine compounds
2303.07-Co-ordination compounds,2303.07,Co-ordination compounds
2303.08-Electron deficient compounds,2303.08,Electron deficient compounds
2303.09-Electropositive elements,2303.09,Electropositive elements
2303.10-Fluorine compounds,2303.10,Fluorine compounds
2303.11-Germanium,2303.11,Germanium
2303.12-Graphite,2303.12,Graphite
2303.13-Halogens,2303.13,Halogens
2303.14-Hydrogen,2303.14,Hydrogen
2303.15-Hydrides,2303.15,Hydrides
2303.16-Inorganic reactions (mechanisms of),2303.16,Inorganic reactions (mechanisms of)
2303.17-Lead compounds,2303.17,Lead compounds
2303.18-Metals,2303.18,Metals
2303.19-Metal alkyls,2303.19,Metal alkyls
2303.20-Nitrogen compounds,2303.20,Nitrogen compounds
